Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
153721:83,5.5,4.2975,6.4,4.9,1.1000000000000005,1.0999999999999996,3.8,6
153747:33,5.5,4.6,6.4,5.2,1.3000000000000003,1.2999999999999998,3.9,6.5
153785:23,2.5,1.7,3.4,2.8,0.9999999999999998,0.9024999999999981,1.8,3.702499999999998
154094:15,5.5,4.5,6.4,6.1,0.5999999999999996,0.5024999999999977,5.5,6.602499999999997
154338:10,5.4,4.2,6.3,6.9,0.20000000000000018,0.09999999999999964,6.7,7
154517:48,5,3.7,6.2,4.8,0.8999999999999999,0.9000000000000004,3.9,5.7
154774:35,4.8,3.9975,5.602499999999997,5.6,1,0.8000000000000007,4.6,6.4
154986:45,3.4,2.2,4.702499999999998,2.4,1,1,1.4,3.4
155027:11,4.5,3.2,5.8,5.3,0.8999999999999995,0.7999999999999998,4.4,6.1
155085:10,3.4,2.3,4.6,2.6,0.9000000000000001,1,1.7,3.6
155092:75,3.2,1.9,4.6,2.6,1.1,1.1,1.5,3.7
155121:37,4.9,3.7,5.9,3.9,1.2999999999999998,1.3000000000000003,2.6,5.2
155148:17,5,4,5.7,5,1.1,0.9000000000000004,3.9,5.9
155201:43,3.5,2.5,4.6,3,0.7999999999999998,0.7999999999999998,2.2,3.8
15535:31,4.3,3.3,5.3,2.8,0.6999999999999997,0.8000000000000003,2.1,3.6
155408:25,3.3,2.1,4.6,3.6,1,0.9999999999999996,2.6,4.6
155436:87,2.9,2.3,3.6,2.7,0.8000000000000003,1,1.9,3.7
155471:9,1.5,1,2.2,5,1.1,1.2000000000000002,3.9,6.2
155521:29,3.5,2.3,4.7,4.6,0.8999999999999995,0.9000000000000004,3.7,5.5
155563:20,4.4,2.8,5.9,3.8,1.0999999999999996,1.2000000000000002,2.7,5
155741:63,5.4,4.3,6.3,6.1,0.40249999999999986,0.40000000000000036,5.6975,6.5
155746:10,5.2,4.2,6.1,5.2,1.2000000000000002,1.0999999999999996,4,6.3
155962:19,4.5,3.3,5.8,5.2,1.2000000000000002,1,4,6.2
156060:102,5.3,4.1,6.3,5.1,1.0999999999999996,1,4,6.1
156086:35,5.3,4.1,6.2,4.3,1.0999999999999996,1.1000000000000005,3.2,5.4
156465:52,3.3,2.2,4.4,2.3,0.5999999999999999,0.7000000000000002,1.7,3
156639:7,5.3,4.3,6.2,5.7,1.2000000000000002,1,4.5,6.7
156650:7,5.1,3.9,6.2,6,0.5999999999999996,0.5,5.4,6.5
156671:38,4,3,5.1,5.5,1.4000000000000004,1.0024999999999977,4.1,6.502499999999998
156697:32,5.6,4.4,6.4,6.1,0.8999999999999995,0.7000000000000002,5.2,6.8
156896:23,3.9,2.8,4.9,4.7,1,1,3.7,5.7
156938:9,5.7,4.9,6.4,5.9,1.0025000000000004,0.8024999999999975,4.8975,6.702499999999998
157049:37,1.5,1,2.5,5,1,1,4,6
15749:21,4.5,3.2,5.6,4.7,1.3000000000000003,1.2000000000000002,3.4,5.9
157516:9,6.1,5.7,6.5,4.7,1.4024999999999999,1.202499999999998,3.2975000000000003,5.902499999999998
157519:107,4,3,4.902499999999998,5.8,1.2999999999999998,1.1000000000000005,4.5,6.9
15755:34,4.8,3.4,6.1,5.3,1.5,1.2999999999999998,3.8,6.6
157934:65,3.3,2.3,4.3,2,0.5,0.6000000000000001,1.5,2.6
157961:33,3.4,2.2975000000000003,4.602499999999997,4.3,1,1,3.3,5.3
158120:17,4.5,3.7,5.4,5,1.1,1,3.9,6
158188:98,4.4,3.3,5.5,4.9,1.1000000000000005,1.0024999999999977,3.8,5.902499999999998
158215:60,3.3,2.1,4.7,2.7,1.1,1.2999999999999998,1.6,4
158261:43,3.8,2.5975,5,2.5,1,1.2000000000000002,1.5,3.7
158370:21,3,1.8,4.3,1.6,0.6000000000000001,0.7999999999999998,1,2.4
