"","workerid","Answer.time_in_minutes","strange","slide_number_in_experiment","tgrep_id","rating"
"45",1,6.99063333333333," True",13,"1177:17","0.76"
"46",1,6.99063333333333," True",14,"3297:34","0.65"
"47",1,6.99063333333333," True",15,"control3","0.64"
"48",1,6.99063333333333," True",16,"1214:19","0.69"
"49",1,6.99063333333333," True",17,"1206:10","0.7"
"50",1,6.99063333333333," True",18,"6607:30","0.73"
"51",1,6.99063333333333," True",19,"6686:28","0.62"
"52",1,6.99063333333333," True",20,"control2","0.75"
"53",1,6.99063333333333," True",21,"6581:42","0.68"
"54",1,6.99063333333333," True",22,"control4","0.64"
"55",1,6.99063333333333," True",23,"7361:10","0.44"
"56",1,6.99063333333333," False",24,"2180:39","0.32"
"57",1,6.99063333333333," False",25,"7100:11","0.59"
"58",1,6.99063333333333," False",26,"4008:21","0.37"
"59",1,6.99063333333333," False",27,"4795:25","0.82"
"60",1,6.99063333333333," False",28,"7526:63","0.67"
"61",1,6.99063333333333," False",29,"5480:20","0.64"
"62",1,6.99063333333333," False",30,"4457:24","0.75"
"63",1,6.99063333333333," False",31,"control1","0.61"
"64",2,3.15655," ''",2,"example1","0.62"
"65",2,3.15655," ''",3,"example2","0.34"
"66",2,3.15655," ''",4,"example3","0.67"
"67",2,3.15655," ''",5,"example4","0.73"
"68",2,3.15655," ''",6,"example5","0.41"
"69",2,3.15655," False",8,"7526:63","0.71"
"70",2,3.15655," False",9,"4457:24","0.6"
"71",2,3.15655," False",10,"control2","0.53"
"72",2,3.15655," False",11,"1206:10","0.68"
"73",2,3.15655," False",12,"1214:19","0.39"
"74",2,3.15655," False",13,"7100:11","0.73"
"75",2,3.15655," False",14,"7361:10","0.61"
"76",2,3.15655," False",15,"2345:39","0.46"
"77",2,3.15655," False",16,"6607:30","0.65"
"78",2,3.15655," False",17,"control4","0.76"
"79",2,3.15655," False",18,"4795:25","0.65"
"80",2,3.15655," False",19,"3297:34","0.34"
"81",2,3.15655," False",20,"5480:20","0.85"
"82",2,3.15655," False",21,"2454:46","0.65"
"83",2,3.15655," False",22,"2767:14","0.83"
"84",2,3.15655," False",23,"control3","0.68"
"85",2,3.15655," False",24,"2180:39","0.84"
"86",2,3.15655," False",25,"control1","0.84"
"87",2,3.15655," False",26,"4008:21","0.72"
"88",2,3.15655," False",27,"6581:42","0.68"
"89",2,3.15655," False",28,"7282:17","0.77"
"90",2,3.15655," False",29,"3878:16","0.55"
"91",2,3.15655," False",30,"1177:17","0.74"
"92",2,3.15655," False",31,"6686:28","0.54"
"93",3,17.609," ''",2,"example1","0.87"
"94",3,17.609," ''",3,"example2","0"
"95",3,17.609," ''",4,"example3","1"
"96",3,17.609," ''",5,"example4","0.87"
"97",3,17.609," ''",6,"example5","0.13"
"98",3,17.609," False",8,"5480:20","0.02"
"99",3,17.609," False",9,"1206:10","0.23"
"100",3,17.609," False",10,"1177:17","0"
"101",3,17.609," False",11,"6581:42","0.01"
"102",3,17.609," False",12,"7361:10","0.03"
"103",3,17.609," False",13,"control1","0.98"
"104",3,17.609," False",14,"control2","0"
"105",3,17.609," False",15,"3878:16","0.96"
"106",3,17.609," False",16,"6686:28","0.04"
"107",3,17.609," False",17,"2767:14","0.03"
"108",3,17.609," False",18,"2345:39","0.04"
"109",3,17.609," False",19,"1214:19","0.96"
"110",3,17.609," False",20,"7526:63","0.03"
"111",3,17.609," False",21,"2180:39","0.96"
"112",3,17.609," False",22,"7282:17","0.96"
"113",3,17.609," False",23,"4008:21","0.04"
"114",3,17.609," False",24,"control3","0.75"
"115",3,17.609," False",25,"4457:24","0.25"
"116",3,17.609," False",26,"4795:25","0.02"
"117",3,17.609," False",27,"6607:30","0"
"118",3,17.609," False",28,"3297:34","0.02"
"119",3,17.609," False",29,"2454:46","0.98"
"120",3,17.609," False",30,"7100:11","0"
"121",3,17.609," False",31,"control4","0.02"
"122",4,16.6571166666667," ''",2,"example1","1"
"123",4,16.6571166666667," ''",3,"example2","0"
"124",4,16.6571166666667," ''",4,"example3","0"
"125",4,16.6571166666667," ''",4,"example3","1"
"126",4,16.6571166666667," ''",5,"example4","1"
"127",4,16.6571166666667," ''",6,"example5","0"
"128",4,16.6571166666667," True",8,"7282:17","1"
"129",4,16.6571166666667," False",9,"2454:46","1"
"130",4,16.6571166666667," True",10,"2180:39","0"
"131",4,16.6571166666667," False",11,"control2","0"
"132",4,16.6571166666667," True",12,"4457:24","1"
"133",4,16.6571166666667," False",13,"7526:63","0"
"134",4,16.6571166666667," False",14,"2767:14","1"
"135",4,16.6571166666667," False",15,"4008:21","1"
"136",4,16.6571166666667," True",16,"2345:39","0.89"
"137",4,16.6571166666667," False",17,"control1","0"
"138",4,16.6571166666667," False",18,"control3","1"
"139",4,16.6571166666667," False",19,"5480:20","0"
"140",4,16.6571166666667," False",20,"7361:10","1"
"141",4,16.6571166666667," False",21,"4795:25","0"
"142",4,16.6571166666667," False",22,"control4","0"
"143",4,16.6571166666667," False",23,"6581:42","0"
"144",4,16.6571166666667," False",24,"6686:28","1"
"145",4,16.6571166666667," False",25,"3297:34","1"
"146",4,16.6571166666667," False",26,"1177:17","0"
"147",4,16.6571166666667," False",27,"3878:16","0"
"148",4,16.6571166666667," False",28,"7100:11","0"
"149",4,16.6571166666667," False",29,"1206:10","0"
"150",4,16.6571166666667," False",30,"6607:30","1"
"151",4,16.6571166666667," False",31,"1214:19","1"
"152",5,13.7530333333333," ''",2,"example1","1"
"153",5,13.7530333333333," ''",3,"example2","0.06"
"154",5,13.7530333333333," ''",4,"example3","0.13"
"155",5,13.7530333333333," ''",4,"example3","1"
"156",5,13.7530333333333," ''",5,"example4","0.98"
"157",5,13.7530333333333," ''",6,"example5","0.1"
"158",5,13.7530333333333," False",8,"4008:21","0.29"
"159",5,13.7530333333333," False",9,"4795:25","0.96"
"160",5,13.7530333333333," False",10,"control1","1"
"161",5,13.7530333333333," False",11,"control3","0.91"
"162",5,13.7530333333333," False",12,"1214:19","0.96"
"163",5,13.7530333333333," False",13,"2345:39","0.76"
"164",5,13.7530333333333," True",14,"5480:20","0.47"
"165",5,13.7530333333333," False",15,"1206:10","0.98"
"166",5,13.7530333333333," True",16,"7361:10","0.51"
"167",5,13.7530333333333," False",17,"control4","0.09"
"168",5,13.7530333333333," False",18,"1177:17","0.75"
"169",5,13.7530333333333," True",19,"2180:39","0.55"
"170",5,13.7530333333333," False",20,"3297:34","0.74"
"171",5,13.7530333333333," False",21,"6686:28","0.73"
"172",5,13.7530333333333," False",22,"control2","0"
"173",5,13.7530333333333," False",23,"2767:14","0.92"
"174",5,13.7530333333333," False",24,"6607:30","0.31"
"175",5,13.7530333333333," False",25,"4457:24","0.76"
"176",5,13.7530333333333," False",26,"7282:17","0.82"
"177",5,13.7530333333333," False",27,"2454:46","0.62"
"178",5,13.7530333333333," False",28,"6581:42","0.86"
"179",5,13.7530333333333," False",29,"7100:11","0.91"
"180",5,13.7530333333333," False",30,"7526:63","0.56"
"181",5,13.7530333333333," False",31,"3878:16","0.95"
"182",6,8.23783333333333," ''",2,"example1","1"
"183",6,8.23783333333333," ''",3,"example2","0"
"184",6,8.23783333333333," ''",4,"example3","1"
"185",6,8.23783333333333," ''",5,"example4","1"
"186",6,8.23783333333333," ''",6,"example5","0"
"187",6,8.23783333333333," False",8,"1177:17","0.2"
"188",6,8.23783333333333," False",9,"7526:63","0.99"
"189",6,8.23783333333333," False",10,"control3","0.08"
"190",6,8.23783333333333," False",11,"3878:16","0.29"
"191",6,8.23783333333333," False",12,"4795:25","0.26"
"192",6,8.23783333333333," False",13,"2180:39","0.26"
"193",6,8.23783333333333," False",14,"6581:42","0.29"
"194",6,8.23783333333333," False",15,"control2","0.02"
"195",6,8.23783333333333," False",16,"4008:21","0.14"
"196",6,8.23783333333333," False",17,"control4","0"
"197",6,8.23783333333333," False",18,"7100:11","0.2"
"198",6,8.23783333333333," False",19,"2767:14","0.14"
"199",6,8.23783333333333," False",20,"7282:17","0.14"
"200",6,8.23783333333333," False",21,"7361:10","0.15"
"201",6,8.23783333333333," False",22,"1206:10","0.12"
"202",6,8.23783333333333," False",23,"2345:39","0.08"
"203",6,8.23783333333333," False",24,"6607:30","0.13"
"204",6,8.23783333333333," False",25,"1214:19","0.16"
"205",6,8.23783333333333," False",26,"2454:46","0.02"
"206",6,8.23783333333333," False",27,"3297:34","0"
"207",6,8.23783333333333," False",28,"4457:24","0"
"208",6,8.23783333333333," False",29,"control1","0"
"209",6,8.23783333333333," False",30,"5480:20","0"
"210",6,8.23783333333333," False",31,"6686:28","0"
"211",7,5.49098333333333," ''",2,"example1","0.21"
"212",7,5.49098333333333," ''",2,"example1","0.82"
"213",7,5.49098333333333," ''",3,"example2","0"
"214",7,5.49098333333333," ''",4,"example3","1"
"215",7,5.49098333333333," ''",5,"example4","1"
"216",7,5.49098333333333," ''",6,"example5","0.15"
"217",7,5.49098333333333," False",8,"5480:20","0.28"
"218",7,5.49098333333333," False",9,"6581:42","0.75"
"219",7,5.49098333333333," False",10,"1177:17","0.84"
"220",7,5.49098333333333," False",11,"2767:14","0.26"
"221",7,5.49098333333333," False",12,"7361:10","0.67"
"222",7,5.49098333333333," False",13,"7282:17","0.5"
"223",7,5.49098333333333," False",14,"4457:24","0.55"
"224",7,5.49098333333333," False",15,"4795:25","0.79"
"225",7,5.49098333333333," False",16,"control4","0.21"
"226",7,5.49098333333333," False",17,"control3","0.38"
"227",7,5.49098333333333," False",18,"control1","0.7"
"228",7,5.49098333333333," True",19,"2180:39","0.66"
"229",7,5.49098333333333," False",20,"control2","0.05"
"230",7,5.49098333333333," False",21,"3297:34","0.41"
"231",7,5.49098333333333," False",22,"2454:46","0.7"
"232",7,5.49098333333333," True",23,"2345:39","0.68"
"233",7,5.49098333333333," False",24,"7526:63","0.86"
"234",7,5.49098333333333," False",25,"1206:10","0.8"
"235",7,5.49098333333333," False",26,"1214:19","0.52"
"236",7,5.49098333333333," False",27,"6686:28","0.66"
"237",7,5.49098333333333," False",28,"4008:21","0.9"
"238",7,5.49098333333333," False",29,"7100:11","0.78"
"239",7,5.49098333333333," False",30,"6607:30","0.57"
"240",7,5.49098333333333," False",31,"3878:16","0.79"
"241",8,9.53883333333333," ''",2,"example1","1"
"242",8,9.53883333333333," ''",3,"example2","0"
"243",8,9.53883333333333," ''",4,"example3","1"
"244",8,9.53883333333333," ''",5,"example4","1"
"245",8,9.53883333333333," ''",6,"example5","0.57"
"246",8,9.53883333333333," ''",6,"example5","0.15"
"247",8,9.53883333333333," True",8,"1177:17","0.87"
"248",8,9.53883333333333," False",9,"control1","0.96"
"249",8,9.53883333333333," False",10,"control3","1"
"250",8,9.53883333333333," False",11,"6581:42","0.99"
"251",8,9.53883333333333," False",12,"7526:63","0.94"
"252",8,9.53883333333333," False",13,"control4","0.74"
"253",8,9.53883333333333," False",14,"5480:20","1"
"254",8,9.53883333333333," True",15,"1206:10","0.91"
"255",8,9.53883333333333," False",16,"2345:39","0.98"
"256",8,9.53883333333333," False",17,"4457:24","0.96"
"257",8,9.53883333333333," False",18,"2454:46","0.94"
"258",8,9.53883333333333," True",19,"7361:10","0.86"
"259",8,9.53883333333333," False",20,"6686:28","0.93"
"260",8,9.53883333333333," True",21,"3878:16","0.92"
"261",8,9.53883333333333," False",22,"2180:39","0.99"
"262",8,9.53883333333333," False",23,"1214:19","0.93"
"263",8,9.53883333333333," False",24,"2767:14","0.95"
"264",8,9.53883333333333," True",25,"4795:25","0.93"
"265",8,9.53883333333333," False",26,"4008:21","0.64"
"266",8,9.53883333333333," True",27,"7282:17","0.86"
"267",8,9.53883333333333," True",28,"3297:34","0.9"
"268",8,9.53883333333333," True",29,"6607:30","0.89"
"269",8,9.53883333333333," True",30,"7100:11","0.91"
"270",8,9.53883333333333," False",31,"control2","0"
"271",9,2.86246666666667," ''",2,"example1","0.9"
"272",9,2.86246666666667," ''",3,"example2","0.12"
"273",9,2.86246666666667," ''",4,"example3","0.15"
"274",9,2.86246666666667," ''",4,"example3","0.74"
"275",9,2.86246666666667," ''",5,"example4","0.11"
"276",9,2.86246666666667," ''",5,"example4","0.89"
"277",9,2.86246666666667," ''",6,"example5","0.85"
"278",9,2.86246666666667," ''",6,"example5","0.15"
"279",9,2.86246666666667," False",8,"control1","0.02"
"280",9,2.86246666666667," False",9,"7282:17","0.86"
"281",9,2.86246666666667," False",10,"1177:17","0.92"
"282",9,2.86246666666667," False",11,"control4","0.84"
"283",9,2.86246666666667," False",12,"6607:30","0.04"
"284",9,2.86246666666667," False",13,"6686:28","0.85"
"285",9,2.86246666666667," False",14,"4795:25","0.14"
"286",9,2.86246666666667," False",15,"4457:24","0.83"
"287",9,2.86246666666667," False",16,"1206:10","0.87"
"288",9,2.86246666666667," False",17,"7526:63","0.92"
"289",9,2.86246666666667," False",18,"3297:34","0.12"
"290",9,2.86246666666667," False",19,"5480:20","0.9"
"291",9,2.86246666666667," False",20,"control3","0.81"
"292",9,2.86246666666667," False",21,"2180:39","0.13"
"293",9,2.86246666666667," False",22,"7361:10","0.81"
"294",9,2.86246666666667," False",23,"4008:21","0.89"
"295",9,2.86246666666667," False",24,"1214:19","0.15"
"296",9,2.86246666666667," False",25,"2345:39","0.87"
"297",9,2.86246666666667," False",26,"3878:16","0.76"
"298",9,2.86246666666667," False",27,"2454:46","0.86"
"299",9,2.86246666666667," False",28,"control2","0.02"
"300",9,2.86246666666667," False",29,"6581:42","0.74"
"301",9,2.86246666666667," False",30,"7100:11","0.16"
"302",9,2.86246666666667," False",31,"2767:14","0.9"
"303",10,17.2123166666667," ''",2,"example1","0.85"
"304",10,17.2123166666667," ''",3,"example2","0.15"
"305",10,17.2123166666667," ''",4,"example3","0"
"306",10,17.2123166666667," ''",4,"example3","1"
"307",10,17.2123166666667," ''",5,"example4","0.04"
"308",10,17.2123166666667," ''",5,"example4","1"
"309",10,17.2123166666667," ''",6,"example5","0.22"
"310",10,17.2123166666667," False",8,"control3","0.9"
"311",10,17.2123166666667," False",9,"3878:16","0.9"
"312",10,17.2123166666667," False",10,"1206:10","0.87"
"313",10,17.2123166666667," True",11,"2180:39","0.83"
"314",10,17.2123166666667," True",12,"7100:11","0.87"
"315",10,17.2123166666667," False",13,"3297:34","0.89"
"316",10,17.2123166666667," False",14,"4457:24","0.89"
"317",10,17.2123166666667," False",15,"5480:20","0.86"
"318",10,17.2123166666667," False",16,"control2","0.11"
"319",10,17.2123166666667," False",17,"control4","0.41"
"320",10,17.2123166666667," False",18,"7361:10","0.83"
"321",10,17.2123166666667," True",19,"2345:39","0.58"
"322",10,17.2123166666667," True",20,"6581:42","0.52"
"323",10,17.2123166666667," False",21,"1177:17","0.26"
"324",10,17.2123166666667," False",22,"7526:63","0.32"
"325",10,17.2123166666667," False",23,"4795:25","0.18"
"326",10,17.2123166666667," False",24,"6686:28","0.26"
"327",10,17.2123166666667," True",25,"6607:30","0.73"
"328",10,17.2123166666667," False",26,"1214:19","0.44"
"329",10,17.2123166666667," False",27,"2767:14","0.38"
"330",10,17.2123166666667," False",28,"4008:21","0.79"
"331",10,17.2123166666667," False",29,"7282:17","0.71"
"332",10,17.2123166666667," False",30,"2454:46","0.66"
"333",10,17.2123166666667," False",31,"control1","0.83"
"334",11,19.1509833333333," ''",2,"example1","0.81"
"335",11,19.1509833333333," ''",3,"example2","0.15"
"336",11,19.1509833333333," ''",4,"example3","0.71"
"337",11,19.1509833333333," ''",5,"example4","0.19"
"338",11,19.1509833333333," ''",5,"example4","0.84"
"339",11,19.1509833333333," ''",6,"example5","0.72"
"340",11,19.1509833333333," ''",6,"example5","0.26"
"341",11,19.1509833333333," False",8,"6607:30","0.9"
"342",11,19.1509833333333," False",9,"control4","0.81"
"343",11,19.1509833333333," False",10,"control1","0.17"
"344",11,19.1509833333333," False",11,"control2","0.31"
"345",11,19.1509833333333," False",12,"2345:39","0.8"
"346",11,19.1509833333333," False",13,"2767:14","0.81"
"347",11,19.1509833333333," False",14,"4457:24","0.88"
"348",11,19.1509833333333," False",15,"1177:17","0.7"
"349",11,19.1509833333333," True",16,"2180:39","0.66"
"350",11,19.1509833333333," False",17,"6686:28","0.82"
"351",11,19.1509833333333," False",18,"6581:42","0.66"
"352",11,19.1509833333333," False",19,"1206:10","0.78"
"353",11,19.1509833333333," False",20,"7361:10","0.78"
"354",11,19.1509833333333," False",21,"7282:17","0.95"
"355",11,19.1509833333333," False",22,"7100:11","0.95"
"356",11,19.1509833333333," False",23,"4795:25","0.5"
"357",11,19.1509833333333," False",24,"7526:63","0.88"
"358",11,19.1509833333333," True",25,"5480:20","0.58"
"359",11,19.1509833333333," False",26,"2454:46","0.68"
"360",11,19.1509833333333," False",27,"1214:19","0.44"
"361",11,19.1509833333333," False",28,"4008:21","0.71"
"362",11,19.1509833333333," False",29,"control3","0.59"
"363",11,19.1509833333333," False",30,"3878:16","0.86"
"364",11,19.1509833333333," False",31,"3297:34","0.72"
"365",12,13.6155333333333," ''",2,"example1","1"
"366",12,13.6155333333333," ''",3,"example2","0"
"367",12,13.6155333333333," ''",4,"example3","0"
"368",12,13.6155333333333," ''",4,"example3","1"
"369",12,13.6155333333333," ''",5,"example4","0"
"370",12,13.6155333333333," ''",5,"example4","0.53"
"371",12,13.6155333333333," ''",6,"example5","0.19"
"372",12,13.6155333333333," False",8,"1206:10","0.89"
"373",12,13.6155333333333," False",9,"6686:28","0.71"
"374",12,13.6155333333333," False",10,"6607:30","0.94"
"375",12,13.6155333333333," False",11,"control4","0"
"376",12,13.6155333333333," False",12,"control1","0"
"377",12,13.6155333333333," False",13,"1214:19","0.86"
"378",12,13.6155333333333," False",14,"7526:63","0.79"
"379",12,13.6155333333333," True",15,"3878:16","0.51"
"380",12,13.6155333333333," False",16,"6581:42","0.86"
"381",12,13.6155333333333," False",17,"control2","0"
"382",12,13.6155333333333," False",18,"4457:24","0.67"
"383",12,13.6155333333333," True",19,"2180:39","1"
"384",12,13.6155333333333," False",20,"4795:25","0.99"
"385",12,13.6155333333333," False",21,"5480:20","1"
"386",12,13.6155333333333," False",22,"1177:17","1"
"387",12,13.6155333333333," True",23,"2454:46","1"
"388",12,13.6155333333333," False",24,"2767:14","1"
"389",12,13.6155333333333," False",25,"2345:39","0.7"
"390",12,13.6155333333333," False",26,"3297:34","0.9"
"391",12,13.6155333333333," False",27,"4008:21","0.91"
"392",12,13.6155333333333," False",28,"7100:11","0.7"
"393",12,13.6155333333333," True",29,"7282:17","0.92"
"394",12,13.6155333333333," False",30,"control3","0.95"
"395",12,13.6155333333333," True",31,"7361:10","0.77"
"396",13,11.266," ''",2,"example1","0.99"
"397",13,11.266," ''",3,"example2","0"
"398",13,11.266," ''",4,"example3","1"
"399",13,11.266," ''",5,"example4","0.42"
"400",13,11.266," ''",5,"example4","1"
"401",13,11.266," ''",6,"example5","0.89"
"402",13,11.266," ''",6,"example5","0"
"403",13,11.266," False",8,"3297:34","0.65"
"404",13,11.266," False",9,"6686:28","1"
"405",13,11.266," False",10,"5480:20","0.22"
"406",13,11.266," False",11,"6581:42","0.66"
"407",13,11.266," False",12,"control3","0.94"
"408",13,11.266," False",13,"1214:19","1"
"409",13,11.266," False",14,"2454:46","1"
"410",13,11.266," False",15,"2767:14","0.56"
"411",13,11.266," False",16,"7100:11","0.34"
"412",13,11.266," False",17,"1177:17","0.86"
"413",13,11.266," False",18,"7361:10","0.63"
"414",13,11.266," False",19,"control4","0.16"
"415",13,11.266," False",20,"6607:30","0.96"
"416",13,11.266," False",21,"3878:16","0.65"
"417",13,11.266," False",22,"7526:63","0.64"
"418",13,11.266," False",23,"4795:25","0.64"
"419",13,11.266," False",24,"1206:10","0.57"
"420",13,11.266," False",25,"control2","0.08"
"421",13,11.266," False",26,"7282:17","0.66"
"422",13,11.266," False",27,"4008:21","0.63"
"423",13,11.266," False",28,"control1","0"
"424",13,11.266," False",29,"2180:39","0.75"
"425",13,11.266," False",30,"2345:39","0.78"
"426",13,11.266," False",31,"4457:24","0.67"
