workerid,proliferate.condition,response,sentence,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
628,experiment_40,"['2', False]","um, it's a problem if those voting don't represent the population demographically, or in terms of their opinions but not both.",21,56764:49,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['5', True]","you know, i don't know for, if you're familiar with that or not but not both.",22,162681:59,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['2', False]","but i wouldn't want  to go  teach high school or junior high but not both,",23,37770:39,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['2', False]","they do kind of follow or, are similar but not both.",24,17349:18,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['6', False]","and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo but not both.",25,148987:58,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['6', False]","and, if i'd of probably had three or four children but not both, i don't see howï¿½ we could have made it, you know, without me working.",26,59303:31,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['7', False]","so, we will play either out there or at firewheel but not both.",27,141931:26,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['2', True]","and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing but not both.",28,31180:140,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['1', False]","uh, d c around here stands for drug capital or death capital but not both.",29,162444:31,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['6', False]","i'm, i'm really wondering whether that's going  it settle down or not but not both,",30,44249:62,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['6', False]","uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not but not both.",31,13821:162,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['3', False]","and he did pull out before it got any further than that where, where it would have turned into more of a police action. uh, or more of a political action but not both i guess,  you getting into their governmental affairs which you really can't do  as, as another country.",32,57971:96,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['6', False]","well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax",33,12128:43,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['3', False]","at thirty-three hundred dollars or thirty-five hundred dollars but not both i'm paying  in taxes, why i, i could go down to bulverde and probably rent a, rent a house for that, right.",34,172822:16,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
628,experiment_40,"['6', False]","well, they can't, they can, i think  in the punishment phase but not in the guilt or innocence but not both because he hasn't been, he hasn't been found  guilty of it.",35,129802:73,[],22,Yes,,2,1,1,Female,English,Chrome,Windows,800,1280,18.035083333333333,
560,experiment_40,"['Patricia', 'Patricia']",,1,bot_check,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', '']",,3,example1,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', '']",,4,example2,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', '']",,4,example2,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]","um, it's a problem if those voting don't represent the population demographically, or in terms of their opinions but not both.",6,56764:49,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .",7,74742:45,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","i think they will probably win one or two more games than they did this year but not both,",8,55109:29,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo but not both.",9,148987:58,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]","but they would go out and try  to go for, uh, the best people and then mold them into different areas or find their natural niche but not both.",10,49833:71,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","at thirty-three hundred dollars or thirty-five hundred dollars but not both i'm paying  in taxes, why i, i could go down to bulverde and probably rent a, rent a house for that, right.",11,172822:16,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]","i would much prefer that they keep their analysis to themselves. um, since i don't necessarily agree with it or it tends  to be extraordinarily trite but not both.",12,14141:68,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]",so occasionally i'll bring whatever  i've got  laying around the car or the like but not both and throw them in there.,13,104851:51,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]","and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing but not both.",14,31180:140,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not but not both.",15,13821:162,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","i, i, fr-, you know, i, i debate about whether it's really good or not but not both, you know.",16,6291:93,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","uh, d c around here stands for drug capital or death capital but not both.",17,162444:31,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","they do kind of follow or, are similar but not both.",18,17349:18,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]",see i went about two or three weeks ago but not both and saw f x two.,19,89290:20,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","but i wouldn't want  to go  teach high school or junior high but not both,",20,37770:39,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","i think i had some other, uh, like staying in shape or working out but not both.",21,15459:47,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","i couldn't possibly commit a year or two of my life but not both  to, to go  do something.",22,15229:24,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","because we saw it, probably, four or five months ago but not both.",23,81549:27,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]","well, they can't, they can, i think  in the punishment phase but not in the guilt or innocence but not both because he hasn't been, he hasn't been found  guilty of it.",24,129802:73,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","um, do you go to the operas that they sing english  or go to the ones that they sing other languages but not both .",25,147927:43,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","you know, i don't know for, if you're familiar with that or not but not both.",26,162681:59,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","and, if i'd of probably had three or four children but not both, i don't see howï¿½ we could have made it, you know, without me working.",27,59303:31,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax",28,12128:43,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","uh, when my children were growing up , i actually had them, up and until they were in the preschool situation, i had them in a, in a home with a lady who  kept two or three kids but not both,",29,94994:144,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', True]","and he did pull out before it got any further than that where, where it would have turned into more of a police action. uh, or more of a political action but not both i guess,  you getting into their governmental affairs which you really can't do  as, as another country.",30,57971:96,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['1', False]","something that you cared about  happened, you'd find out from friends or other channels but not both.",31,169391:49,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","i'm, i'm really wondering whether that's going  it settle down or not but not both,",32,44249:62,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","i, i don't judge any war as good or bad but not both,",33,85977:40,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night but not both.",34,103194:59,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
560,experiment_40,"['7', False]","so, we will play either out there or at firewheel but not both.",35,141931:26,[],32,Confused,The transcribed conversations threw me off after reading the red statement a few times.,3,1,1,Male,English,Firefox,Windows,720,1280,11.4292,
420,experiment_40,"['Elizabeth', 'Elizabeth']",,1,bot_check,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['6', '']",,3,example1,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', '']",,4,example2,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['7', False]","because we saw it, probably, four or five months ago but not both.",6,81549:27,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","i, i don't judge any war as good or bad but not both,",7,85977:40,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['7', False]","so, we will play either out there or at firewheel but not both.",8,141931:26,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax",9,12128:43,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', True]","and, if i'd of probably had three or four children but not both, i don't see howï¿½ we could have made it, you know, without me working.",10,59303:31,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .",11,74742:45,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', True]","you know, i don't know for, if you're familiar with that or not but not both.",12,162681:59,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","i think i had some other, uh, like staying in shape or working out but not both.",13,15459:47,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","but i wouldn't want  to go  teach high school or junior high but not both,",14,37770:39,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]",see i went about two or three weeks ago but not both and saw f x two.,15,89290:20,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', False]","i would much prefer that they keep their analysis to themselves. um, since i don't necessarily agree with it or it tends  to be extraordinarily trite but not both.",16,14141:68,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', True]","uh, when my children were growing up , i actually had them, up and until they were in the preschool situation, i had them in a, in a home with a lady who  kept two or three kids but not both,",17,94994:144,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', False]","something that you cared about  happened, you'd find out from friends or other channels but not both.",18,169391:49,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","i think they will probably win one or two more games than they did this year but not both,",19,55109:29,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['1', True]","well, they can't, they can, i think  in the punishment phase but not in the guilt or innocence but not both because he hasn't been, he hasn't been found  guilty of it.",20,129802:73,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['6', False]","and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo but not both.",21,148987:58,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night but not both.",22,103194:59,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', False]","uh, d c around here stands for drug capital or death capital but not both.",23,162444:31,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['6', False]","i couldn't possibly commit a year or two of my life but not both  to, to go  do something.",24,15229:24,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', True]","um, do you go to the operas that they sing english  or go to the ones that they sing other languages but not both .",25,147927:43,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', False]","i, i, fr-, you know, i, i debate about whether it's really good or not but not both, you know.",26,6291:93,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', True]","but they would go out and try  to go for, uh, the best people and then mold them into different areas or find their natural niche but not both.",27,49833:71,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', True]",so occasionally i'll bring whatever  i've got  laying around the car or the like but not both and throw them in there.,28,104851:51,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', True]","at thirty-three hundred dollars or thirty-five hundred dollars but not both i'm paying  in taxes, why i, i could go down to bulverde and probably rent a, rent a house for that, right.",29,172822:16,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['5', False]","and he did pull out before it got any further than that where, where it would have turned into more of a police action. uh, or more of a political action but not both i guess,  you getting into their governmental affairs which you really can't do  as, as another country.",30,57971:96,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', True]","uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not but not both.",31,13821:162,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', False]","um, it's a problem if those voting don't represent the population demographically, or in terms of their opinions but not both.",32,56764:49,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['4', False]","they do kind of follow or, are similar but not both.",33,17349:18,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', True]","and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing but not both.",34,31180:140,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
420,experiment_40,"['2', True]","i'm, i'm really wondering whether that's going  it settle down or not but not both,",35,44249:62,[],48,No,,2,1,1,Female,English,Chrome,Windows,1080,1920,8.758366666666667,
741,experiment_40,"['Barbara', 'Barbara']",,1,bot_check,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', '']",,3,example1,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', '']",,4,example2,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","and he did pull out before it got any further than that where, where it would have turned into more of a police action. uh, or more of a political action but not both i guess,  you getting into their governmental affairs which you really can't do  as, as another country.",6,57971:96,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","but they would go out and try  to go for, uh, the best people and then mold them into different areas or find their natural niche but not both.",7,49833:71,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","something that you cared about  happened, you'd find out from friends or other channels but not both.",8,169391:49,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","i couldn't possibly commit a year or two of my life but not both  to, to go  do something.",9,15229:24,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","uh, when my children were growing up , i actually had them, up and until they were in the preschool situation, i had them in a, in a home with a lady who  kept two or three kids but not both,",10,94994:144,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', True]","you know, i don't know for, if you're familiar with that or not but not both.",11,162681:59,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","i think they will probably win one or two more games than they did this year but not both,",12,55109:29,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","well, they can't, they can, i think  in the punishment phase but not in the guilt or innocence but not both because he hasn't been, he hasn't been found  guilty of it.",13,129802:73,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","um, it's a problem if those voting don't represent the population demographically, or in terms of their opinions but not both.",14,56764:49,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not but not both.",15,13821:162,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","but i wouldn't want  to go  teach high school or junior high but not both,",16,37770:39,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]",so occasionally i'll bring whatever  i've got  laying around the car or the like but not both and throw them in there.,17,104851:51,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', True]","and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing but not both.",18,31180:140,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo but not both.",19,148987:58,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","i, i, fr-, you know, i, i debate about whether it's really good or not but not both, you know.",20,6291:93,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","so, we will play either out there or at firewheel but not both.",21,141931:26,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['3', True]","well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax",22,12128:43,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","uh, d c around here stands for drug capital or death capital but not both.",23,162444:31,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['6', True]","because we saw it, probably, four or five months ago but not both.",24,81549:27,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', False]","i think i had some other, uh, like staying in shape or working out but not both.",25,15459:47,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', False]","i'm, i'm really wondering whether that's going  it settle down or not but not both,",26,44249:62,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', False]","they do kind of follow or, are similar but not both.",27,17349:18,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['1', False]","and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .",28,74742:45,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night but not both.",29,103194:59,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['2', False]","um, do you go to the operas that they sing english  or go to the ones that they sing other languages but not both .",30,147927:43,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['7', False]","at thirty-three hundred dollars or thirty-five hundred dollars but not both i'm paying  in taxes, why i, i could go down to bulverde and probably rent a, rent a house for that, right.",31,172822:16,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['5', False]","i, i don't judge any war as good or bad but not both,",32,85977:40,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
741,experiment_40,"['6', False]",see i went about two or three weeks ago but not both and saw f x two.,33,89290:20,[],34,Yes,,3,1,0,Female,English,Chrome,Windows,768,1366,19.732266666666668,
