tgrep.id,MeanPredicted,MeanEmpirical
106499:91,0.4792430285474935,0.5666666666666667
106579:87,0.5047963274743488,0.5766666666666667
106753:24,0.4883408577950477,0.5522222222222222
106806:20,0.45170530377805096,0.56
106956:13,0.4538729073907232,0.36333333333333334
106986:61,0.4455993781085515,0.5644444444444444
106988:25,0.4431264782124042,0.42947368421052634
107022:8,0.4835171765161431,0.12777777777777777
107053:97,0.40920806111833463,0.24888888888888888
107273:23,0.46275702923984496,0.2966666666666667
107430:41,0.5164281158747452,0.7266666666666667
107454:21,0.45228536671665337,0.5233333333333333
10770:28,0.4902947540092875,0.5922222222222222
107841:9,0.4553383295514031,0.6877777777777778
107849:89,0.4582081146160678,0.8077777777777778
107871:41,0.5417371777748206,0.4477777777777778
107973:25,0.47933461743253597,0.6866666666666666
108224:44,0.49090534657623747,0.44555555555555554
108299:58,0.45228536671665337,0.4222222222222222
108435:42,0.47399193247172394,0.63
10846:33,0.4553383295514031,0.5044444444444445
108517:95,0.4249613493456432,0.25555555555555554
108876:46,0.4576891109341604,0.4633333333333333
108877:61,0.4249613493456432,0.45111111111111113
109003:96,0.4811358655050384,0.17333333333333334
109014:41,0.4039558915848743,0.32
109263:30,0.4883408577950477,0.3988888888888889
109324:31,0.49090534657623747,0.5411111111111111
109756:31,0.4553688591797506,0.37333333333333335
109764:99,0.5417371777748206,0.5677777777777778
109881:25,0.4902947540092875,0.6811111111111111
110197:24,0.53835029713002,0.51125
110391:68,0.45976512566179023,0.3088888888888889
110454:26,0.4553383295514031,0.2733333333333333
110657:88,0.39513390245013835,0.18444444444444444
110659:25,0.4582081146160678,0.1522222222222222
110752:48,0.45826917387276284,0.2733333333333333
110794:66,0.4249613493456432,0.22555555555555556
110930:97,0.4576891109341604,0.49222222222222223
110943:19,0.43750902659646473,0.5822222222222222
110971:62,0.49050846140772003,0.3888888888888889
111042:70,0.4076205204442648,0.39666666666666667
111321:31,0.53835029713002,0.67625
111626:16,0.47399193247172394,0.8688888888888888
111782:55,0.49050846140772003,0.49
111855:32,0.4553383295514031,0.38
111864:66,0.4576891109341604,0.2833333333333333
111943:55,0.5047963274743488,0.27555555555555555
111953:18,0.45826917387276284,0.6644444444444444
112092:38,0.4431264782124042,0.5005263157894737
112125:26,0.4076205204442648,0.3111111111111111
112139:60,0.40920806111833463,0.20222222222222222
112163:28,0.5417371777748206,0.38
112221:46,0.5907982905292487,0.3488888888888889
112263:70,0.4314272032651343,0.37526315789473685
112292:38,0.39513390245013835,0.36777777777777776
112322:27,0.5907982905292487,0.5977777777777777
112347:54,0.4314272032651343,0.5668421052631579
112417:64,0.4431264782124042,0.3952631578947368
112636:68,0.4883103281667002,0.5611111111111111
1131:129,0.49050846140772003,0.45333333333333337
113176:393,0.4582081146160678,0.7488888888888889
11323:99,0.43094515650175275,0.31555555555555553
113429:79,0.4076205204442648,0.3088888888888889
113845:53,0.4431264782124042,0.48157894736842105
113850:99,0.49090534657623747,0.3877777777777778
113961:67,0.4553688591797506,0.4788888888888889
113966:144,0.45976512566179023,0.4511111111111111
1147:55,0.5417371777748206,0.5755555555555556
114774:25,0.4576891109341604,0.39999999999999997
114907:53,0.4792430285474935,0.3088888888888889
115553:41,0.40920806111833463,0.41
115588:11,0.49090534657623747,0.24222222222222223
116286:60,0.4455993781085515,0.3477777777777778
116314:89,0.4758237101725738,0.39666666666666667
116760:45,0.49090534657623747,0.4888888888888889
116776:42,0.4576891109341604,0.8588888888888889
116923:70,0.45170530377805096,0.18777777777777777
117171:43,0.5164281158747452,0.6111111111111112
117429:39,0.53835029713002,0.6725
117490:28,0.4455993781085515,0.5877777777777777
11792:29,0.45170530377805096,0.4488888888888889
11797:36,0.4883408577950477,0.6055555555555555
117982:68,0.45976512566179023,0.3522222222222222
118023:57,0.5462860923985976,0.8099999999999999
118424:62,0.49050846140772003,0.30333333333333334
118494:11,0.43094515650175275,0.5566666666666666
118743:60,0.53835029713002,0.568125
118989:29,0.47399193247172394,0.39444444444444443
119232:80,0.47399193247172394,0.3655555555555556
119300:32,0.53835029713002,0.38875
119572:54,0.43750902659646473,0.5355555555555556
119612:30,0.5164281158747452,0.7344444444444445
119672:89,0.4039558915848743,0.3566666666666667
119921:34,0.49050846140772003,0.37222222222222223
1200:36,0.47933461743253597,0.38
120009:68,0.5164281158747452,0.35333333333333333
120047:15,0.4582081146160678,0.89
120054:90,0.5907982905292487,0.7944444444444444
12033:60,0.4883103281667002,0.41
120579:20,0.4576891109341604,0.4633333333333333
120725:45,0.4076205204442648,0.2111111111111111
120770:23,0.5027508423750664,0.3022222222222222
120851:76,0.5907982905292487,0.7255555555555555
120949:44,0.5027508423750664,0.38222222222222224
121100:87,0.4076205204442648,0.22666666666666666
121188:35,0.4582081146160678,0.8066666666666666
121244:63,0.5027508423750664,0.39555555555555555
12128:43,0.43989033760756946,0.43333333333333335
121355:48,0.45170530377805096,0.20555555555555555
1214:60,0.43094515650175275,0.29333333333333333
